{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.804591'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.816593'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.825592'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.836598'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.846598'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.858603'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.868602'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.879605'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.890607'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.901614'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.914617'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.923618'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.934620'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.945622'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.956626'}
{'command_pitch': '228', 'command_roll': '228', 'command_yaw': '228', 'command_throttle': '227', 'switch_states': '000000', 'altitude_AGL': 0, 'altitude_AGL_set': 0, 'altitude_ABS': 0, 'heading': 0, 'compass': 0, 'attitude_pitch': 0, 'attitude_roll': 0, 'vertical_speed_KTS': 0, 'airspeed_KTS': 0, 'OAT': 0, 'BAT1_temp_C': 0, 'BAT2_temp_C': 0, 'BAT3_temp_C': 0, 'BAT4_temp_C': 0, 'BAT5_temp_C': 0, 'BAT6_temp_C': 0, 'ESC1_temp_C': 0, 'ESC2_temp_C': 0, 'ESC3_temp_C': 0, 'ESC4_temp_C': 0, 'ESC5_temp_C': 0, 'ESC6_temp_C': 0, 'MOT1_temp_C': 0, 'MOT2_temp_C': 0, 'MOT3_temp_C': 0, 'MOT4_temp_C': 0, 'MOT5_temp_C': 0, 'MOT6_temp_C': 0, 'BAT1_soc_PCT': 0, 'BAT2_soc_PCT': 0, 'BAT3_soc_PCT': 0, 'BAT4_soc_PCT': 0, 'BAT5_soc_PCT': 0, 'BAT6_soc_PCT': 0, 'MOT1_rpm_PCT': 0, 'MOT2_rpm_PCT': 0, 'MOT3_rpm_PCT': 0, 'MOT4_rpm_PCT': 0, 'MOT5_rpm_PCT': 0, 'MOT6_rpm_PCT': 0, 'ESC1_V': 0, 'ESC2_V': 0, 'ESC3_V': 0, 'ESC4_V': 0, 'ESC5_V': 0, 'ESC6_V': 0, 'ESC1_CUR_AMP': 0, 'ESC2_CUR_AMP': 0, 'ESC3_CUR_AMP': 0, 'ESC4_CUR_AMP': 0, 'ESC5_CUR_AMP': 0, 'ESC6_CUR_AMP': 0, 'TimeStamp': '2024-05-15 13:03:40.968629'}
